content, category ,
 Contact us for Door to door delivery kitchen items, Hotel and Restaurants,
" grab the most awaitded # exclusive air fare of ktm-bangkok-ktm only at npr 19,999",Travel and Tourism,
 We build earthquake-resistant homes.,Constructions,
 Our team of experts ensure perfection at every step to make your event memorable.,Hotel and Restaurants,
"""Guest is no less than God "" That is our Team Faith...",Hotel and Restaurants,
"#vietnam
for more details and booking contact us",Travel and Tourism,
"100 % Nepali made comfort that will make you "" fell good"" on the inside and ouside",Fashion and Beauty,
"17 sate of the art,well equipped modular operation theatres",Health and Medicine,
24 hour emergency services call at 1134,Health and Medicine,
30% of on air fare of nepal air,Travel and Tourism,
35% discount in different accessories,Constructions,
5-Star sleeping experince at 1-Star hotel,Hotel and Restaurants,
750 bedded super speciality hospital,Health and Medicine,
A beautiful lehenga with jacket made from maroon net fabric,Fashion and Beauty,
A good bank managers needed !!!!,Banking Insurance and Financial Services,
A perfect place for your summer vacation,Hotel and Restaurants,
A simple way to send your money to your loved ones,Banking Insurance and Financial Services,
"A sophisticated resort experience, blended with the tropical surprises of diving sites, private reef and a shipwreck to explore.",Hotel and Restaurants,
a strong bond between children and parents is based on listening to them and showing them care.,Education,
a world class quaternary case facility with multiple centers of excellence.it combines the finest medical minds and advanced technlogy to provide holistic tratment within a multi disciplinary framework,Health and Medicine,
"Acoustic Guitar with Pick Up, Made In Korea, 1 year warranty, Includes a bag, set of strings, pick.",Entertainment,
addmsission open from class 1 to class 10,Education,
admission  ogoing  ! Please call the admission office for more information,Education,
"admission notices for foregin students in mbbs and bds 
MBBS and BDS augest 2019 session",Education,
admission open ! Imtroductory offer for limited seat only,Education,
Admission open for the new dance class,Entertainment,
Air proof jackets for men and women's just at 20% discount,Fashion and Beauty,
all the kind of sports materials are found in our store,Sports,
All time highest gross collection,Entertainment,
"amazing rara tour package
 premium:npr 13,500 only
economy:npr 10,000 only",Travel and Tourism,
"amazing thailand trip at just rs 2470 only let your pocket ,fee buy you thailand trip for more detail contact us",Travel and Tourism,
"amazinng mustang package tour
3n/4d
premium:nrs 12,999 only 
economey:8,999 only
trip highlight
2 night:accomodation in pokhara
1 night:accomodation in jomsom
premimum by 4wd luxurious scorpio jeep
economy by luxurious bus(minimum 25+)",Travel and Tourism,
An affordable solutions for Women's Gromming,Fashion and Beauty,
"An alluring blend of nature, culture and relaxation in the backwaters!",Hotel and Restaurants,
"Apart from excellent insurance coverage, we want to ensure that our policyholder get medical facilities at the best rate",Banking Insurance and Financial Services,
"Appropriate spot for business events, meetings and seminars",Hotel and Restaurants,
Are searching for experience mechanics????,Engineering  and Technology,
Are seeking for good constructions materials???,Constructions,
Are team have develop a farmer friendly machine,Engineering  and Technology,
Are you looking for plant of fruits for your farm we provide all sorts of plant at reasonable price,Agriculture,
Are you looking for planting machine contact us?,Engineering  and Technology,
Are you ready to Shop your Summer outfits? Best deals available rights now!!,Fashion and Beauty,
Asian paints provides different offer for painting your house with beautiful colors,Constructions,
award winning teams of emergency medical services and 2 helipad facility,Health and Medicine,
Awsome !!!! music compose by our musician,Entertainment,
baseball tournament classes from Friday march 30,Sports,
"basketball traning classes from Friday 25,jully 2019",Sports,
be a hero donate or give a blood,Health and Medicine,
